Validation_Set,Topics,Alpha,Beta,Coherence
sentimen_bi_neg,2,0.01,0.01,0.3931885537105604
sentimen_bi_neg,2,0.01,0.31,0.3931885537105604
sentimen_bi_neg,2,0.01,0.61,0.36796833003553125
sentimen_bi_neg,2,0.01,0.9099999999999999,0.40448078906703233
sentimen_bi_neg,2,0.01,symmetric,0.36796833003553125
sentimen_bi_neg,2,0.31,0.01,0.3931885537105604
sentimen_bi_neg,2,0.31,0.31,0.39318855371056044
sentimen_bi_neg,2,0.31,0.61,0.39318855371056044
sentimen_bi_neg,2,0.31,0.9099999999999999,0.36796833003553125
sentimen_bi_neg,2,0.31,symmetric,0.39318855371056044
sentimen_bi_neg,2,0.61,0.01,0.3679683300355312
sentimen_bi_neg,2,0.61,0.31,0.3679683300355312
sentimen_bi_neg,2,0.61,0.61,0.3679683300355312
sentimen_bi_neg,2,0.61,0.9099999999999999,0.40448078906703233
sentimen_bi_neg,2,0.61,symmetric,0.3679683300355312
sentimen_bi_neg,2,0.9099999999999999,0.01,0.3679683300355312
sentimen_bi_neg,2,0.9099999999999999,0.31,0.3679683300355312
sentimen_bi_neg,2,0.9099999999999999,0.61,0.40711896100530237
sentimen_bi_neg,2,0.9099999999999999,0.9099999999999999,0.4071189610053023
sentimen_bi_neg,2,0.9099999999999999,symmetric,0.40711896100530237
sentimen_bi_neg,2,symmetric,0.01,0.3679683300355312
sentimen_bi_neg,2,symmetric,0.31,0.36796833003553125
sentimen_bi_neg,2,symmetric,0.61,0.3679683300355312
sentimen_bi_neg,2,symmetric,0.9099999999999999,0.3679683300355312
sentimen_bi_neg,2,symmetric,symmetric,0.3679683300355312
sentimen_bi_neg,2,asymmetric,0.01,0.3908295892790057
sentimen_bi_neg,2,asymmetric,0.31,0.4062801645245615
sentimen_bi_neg,2,asymmetric,0.61,0.4062801645245615
sentimen_bi_neg,2,asymmetric,0.9099999999999999,0.4062801645245615
sentimen_bi_neg,2,asymmetric,symmetric,0.4062801645245615
sentimen_bi_neg,3,0.01,0.01,0.34436995536452747
sentimen_bi_neg,3,0.01,0.31,0.36367402646172925
sentimen_bi_neg,3,0.01,0.61,0.3518357839906592
sentimen_bi_neg,3,0.01,0.9099999999999999,0.3518357839906592
sentimen_bi_neg,3,0.01,symmetric,0.36367402646172925
sentimen_bi_neg,3,0.31,0.01,0.3218686153080721
sentimen_bi_neg,3,0.31,0.31,0.31448625814282494
sentimen_bi_neg,3,0.31,0.61,0.3099651841819233
sentimen_bi_neg,3,0.31,0.9099999999999999,0.3099651841819233
sentimen_bi_neg,3,0.31,symmetric,0.31448625814282494
sentimen_bi_neg,3,0.61,0.01,0.3334136077988202
sentimen_bi_neg,3,0.61,0.31,0.33190810329201276
sentimen_bi_neg,3,0.61,0.61,0.32425235186647877
sentimen_bi_neg,3,0.61,0.9099999999999999,0.303859703161613
sentimen_bi_neg,3,0.61,symmetric,0.33190810329201276
sentimen_bi_neg,3,0.9099999999999999,0.01,0.32568116203351255
sentimen_bi_neg,3,0.9099999999999999,0.31,0.328917014194704
sentimen_bi_neg,3,0.9099999999999999,0.61,0.3175933175800088
sentimen_bi_neg,3,0.9099999999999999,0.9099999999999999,0.3038597031616129
sentimen_bi_neg,3,0.9099999999999999,symmetric,0.3256200612222107
sentimen_bi_neg,3,symmetric,0.01,0.31878534640991846
sentimen_bi_neg,3,symmetric,0.31,0.31448625814282494
sentimen_bi_neg,3,symmetric,0.61,0.31448625814282494
sentimen_bi_neg,3,symmetric,0.9099999999999999,0.3099651841819233
sentimen_bi_neg,3,symmetric,symmetric,0.31448625814282494
sentimen_bi_neg,3,asymmetric,0.01,0.3159256523108928
sentimen_bi_neg,3,asymmetric,0.31,0.3201962913998502
sentimen_bi_neg,3,asymmetric,0.61,0.3182566993118665
sentimen_bi_neg,3,asymmetric,0.9099999999999999,0.31784549610245266
sentimen_bi_neg,3,asymmetric,symmetric,0.3201962913998502
sentimen_bi_neg,4,0.01,0.01,0.4026048998236353
sentimen_bi_neg,4,0.01,0.31,0.4026048998236353
sentimen_bi_neg,4,0.01,0.61,0.4026048998236353
sentimen_bi_neg,4,0.01,0.9099999999999999,0.4021018717427986
sentimen_bi_neg,4,0.01,symmetric,0.4026048998236353
sentimen_bi_neg,4,0.31,0.01,0.346928277637864
sentimen_bi_neg,4,0.31,0.31,0.3521000630658528
sentimen_bi_neg,4,0.31,0.61,0.35210006306585273
sentimen_bi_neg,4,0.31,0.9099999999999999,0.36949386628862035
sentimen_bi_neg,4,0.31,symmetric,0.3521000630658528
sentimen_bi_neg,4,0.61,0.01,0.35703435685791757
sentimen_bi_neg,4,0.61,0.31,0.345409870000387
sentimen_bi_neg,4,0.61,0.61,0.35145788986076776
sentimen_bi_neg,4,0.61,0.9099999999999999,0.34986049321653706
sentimen_bi_neg,4,0.61,symmetric,0.345409870000387
sentimen_bi_neg,4,0.9099999999999999,0.01,0.3676995727989386
sentimen_bi_neg,4,0.9099999999999999,0.31,0.35290925914254034
sentimen_bi_neg,4,0.9099999999999999,0.61,0.3556605690710879
sentimen_bi_neg,4,0.9099999999999999,0.9099999999999999,0.3499857448348347
sentimen_bi_neg,4,0.9099999999999999,symmetric,0.35290925914254034
sentimen_bi_neg,4,symmetric,0.01,0.40000070199081883
sentimen_bi_neg,4,symmetric,0.31,0.3928429112879356
sentimen_bi_neg,4,symmetric,0.61,0.39239975678869987
sentimen_bi_neg,4,symmetric,0.9099999999999999,0.3795938425255427
sentimen_bi_neg,4,symmetric,symmetric,0.3936860144689118
sentimen_bi_neg,4,asymmetric,0.01,0.38517257581228637
sentimen_bi_neg,4,asymmetric,0.31,0.4011092341916372
sentimen_bi_neg,4,asymmetric,0.61,0.40004271777882294
sentimen_bi_neg,4,asymmetric,0.9099999999999999,0.4068665443082673
sentimen_bi_neg,4,asymmetric,symmetric,0.40110923419163724
sentimen_bi_neg,5,0.01,0.01,0.401386523598366
sentimen_bi_neg,5,0.01,0.31,0.394638461769187
sentimen_bi_neg,5,0.01,0.61,0.3854865939441144
sentimen_bi_neg,5,0.01,0.9099999999999999,0.3854865939441144
sentimen_bi_neg,5,0.01,symmetric,0.394638461769187
sentimen_bi_neg,5,0.31,0.01,0.38861586895178346
sentimen_bi_neg,5,0.31,0.31,0.38262466984764476
sentimen_bi_neg,5,0.31,0.61,0.38667348087057096
sentimen_bi_neg,5,0.31,0.9099999999999999,0.38667348087057096
sentimen_bi_neg,5,0.31,symmetric,0.38174364121970195
sentimen_bi_neg,5,0.61,0.01,0.3980497696031623
sentimen_bi_neg,5,0.61,0.31,0.3954342234439777
sentimen_bi_neg,5,0.61,0.61,0.4021991928646257
sentimen_bi_neg,5,0.61,0.9099999999999999,0.4258074223844118
sentimen_bi_neg,5,0.61,symmetric,0.39804976960316224
sentimen_bi_neg,5,0.9099999999999999,0.01,0.39117156522233837
sentimen_bi_neg,5,0.9099999999999999,0.31,0.3923111166106388
sentimen_bi_neg,5,0.9099999999999999,0.61,0.4226358232132477
sentimen_bi_neg,5,0.9099999999999999,0.9099999999999999,0.4179693973125115
sentimen_bi_neg,5,0.9099999999999999,symmetric,0.39982677028267144
sentimen_bi_neg,5,symmetric,0.01,0.4024306566608832
sentimen_bi_neg,5,symmetric,0.31,0.3963680239567675
sentimen_bi_neg,5,symmetric,0.61,0.4015705810402432
sentimen_bi_neg,5,symmetric,0.9099999999999999,0.3956308338704523
sentimen_bi_neg,5,symmetric,symmetric,0.3963680239567675
sentimen_bi_neg,5,asymmetric,0.01,0.4194488466209985
sentimen_bi_neg,5,asymmetric,0.31,0.42927202231087963
sentimen_bi_neg,5,asymmetric,0.61,0.42303176305085194
sentimen_bi_neg,5,asymmetric,0.9099999999999999,0.4309949701949531
sentimen_bi_neg,5,asymmetric,symmetric,0.42608147044322864
sentimen_bi_neg,6,0.01,0.01,0.3839116434754238
sentimen_bi_neg,6,0.01,0.31,0.3839116434754238
sentimen_bi_neg,6,0.01,0.61,0.35047080688127474
sentimen_bi_neg,6,0.01,0.9099999999999999,0.35047080688127474
sentimen_bi_neg,6,0.01,symmetric,0.38405485145867746
sentimen_bi_neg,6,0.31,0.01,0.36538105927259656
sentimen_bi_neg,6,0.31,0.31,0.3686754188483706
sentimen_bi_neg,6,0.31,0.61,0.3628118941562321
sentimen_bi_neg,6,0.31,0.9099999999999999,0.37147577062420317
sentimen_bi_neg,6,0.31,symmetric,0.3655218007564325
sentimen_bi_neg,6,0.61,0.01,0.41191522949124065
sentimen_bi_neg,6,0.61,0.31,0.41568652327086975
sentimen_bi_neg,6,0.61,0.61,0.4140605851463224
sentimen_bi_neg,6,0.61,0.9099999999999999,0.4162771467702326
sentimen_bi_neg,6,0.61,symmetric,0.3962719536005644
sentimen_bi_neg,6,0.9099999999999999,0.01,0.40754555733485515
sentimen_bi_neg,6,0.9099999999999999,0.31,0.41304192751475305
sentimen_bi_neg,6,0.9099999999999999,0.61,0.3988603213373925
sentimen_bi_neg,6,0.9099999999999999,0.9099999999999999,0.428193339216186
sentimen_bi_neg,6,0.9099999999999999,symmetric,0.4104144303492377
sentimen_bi_neg,6,symmetric,0.01,0.3712532162257424
sentimen_bi_neg,6,symmetric,0.31,0.37404438082098435
sentimen_bi_neg,6,symmetric,0.61,0.3740443808209844
sentimen_bi_neg,6,symmetric,0.9099999999999999,0.3803311601330239
sentimen_bi_neg,6,symmetric,symmetric,0.37404438082098435
sentimen_bi_neg,6,asymmetric,0.01,0.39942531681132865
sentimen_bi_neg,6,asymmetric,0.31,0.4064644733751001
sentimen_bi_neg,6,asymmetric,0.61,0.398252099092327
sentimen_bi_neg,6,asymmetric,0.9099999999999999,0.398252099092327
sentimen_bi_neg,6,asymmetric,symmetric,0.4064644733751001
sentimen_bi_neg,7,0.01,0.01,0.3915764105224763
sentimen_bi_neg,7,0.01,0.31,0.40158547941955547
sentimen_bi_neg,7,0.01,0.61,0.40163975089042453
sentimen_bi_neg,7,0.01,0.9099999999999999,0.39303398009285756
sentimen_bi_neg,7,0.01,symmetric,0.40158547941955547
sentimen_bi_neg,7,0.31,0.01,0.4343705499822133
sentimen_bi_neg,7,0.31,0.31,0.42944169059271753
sentimen_bi_neg,7,0.31,0.61,0.42566428797212374
sentimen_bi_neg,7,0.31,0.9099999999999999,0.429585849877148
sentimen_bi_neg,7,0.31,symmetric,0.4348990160762633
sentimen_bi_neg,7,0.61,0.01,0.43423025370000756
sentimen_bi_neg,7,0.61,0.31,0.39785753017306735
sentimen_bi_neg,7,0.61,0.61,0.4196197488300038
sentimen_bi_neg,7,0.61,0.9099999999999999,0.44389918604342504
sentimen_bi_neg,7,0.61,symmetric,0.4112935756941652
sentimen_bi_neg,7,0.9099999999999999,0.01,0.3714847149340147
sentimen_bi_neg,7,0.9099999999999999,0.31,0.3996924832012187
sentimen_bi_neg,7,0.9099999999999999,0.61,0.42038266224838744
sentimen_bi_neg,7,0.9099999999999999,0.9099999999999999,0.41810430380674657
sentimen_bi_neg,7,0.9099999999999999,symmetric,0.3800238370513377
sentimen_bi_neg,7,symmetric,0.01,0.4144724841111364
sentimen_bi_neg,7,symmetric,0.31,0.4095180176240583
sentimen_bi_neg,7,symmetric,0.61,0.4089519547350823
sentimen_bi_neg,7,symmetric,0.9099999999999999,0.4089519547350823
sentimen_bi_neg,7,symmetric,symmetric,0.4046699724533403
sentimen_bi_neg,7,asymmetric,0.01,0.4297060108884333
sentimen_bi_neg,7,asymmetric,0.31,0.4268988575418188
sentimen_bi_neg,7,asymmetric,0.61,0.42689885754181883
sentimen_bi_neg,7,asymmetric,0.9099999999999999,0.4340917891670858
sentimen_bi_neg,7,asymmetric,symmetric,0.4268988575418188
sentimen_bi_neg,8,0.01,0.01,0.41712432866881183
sentimen_bi_neg,8,0.01,0.31,0.4159006175552218
sentimen_bi_neg,8,0.01,0.61,0.39965913207031467
sentimen_bi_neg,8,0.01,0.9099999999999999,0.4159006175552218
sentimen_bi_neg,8,0.01,symmetric,0.42393541018235115
sentimen_bi_neg,8,0.31,0.01,0.44221470857780765
sentimen_bi_neg,8,0.31,0.31,0.4420816245526443
sentimen_bi_neg,8,0.31,0.61,0.43514508279116004
sentimen_bi_neg,8,0.31,0.9099999999999999,0.432961674131495
sentimen_bi_neg,8,0.31,symmetric,0.4400997964729043
sentimen_bi_neg,8,0.61,0.01,0.4288627256985628
sentimen_bi_neg,8,0.61,0.31,0.42379668464225356
sentimen_bi_neg,8,0.61,0.61,0.4644500949071597
sentimen_bi_neg,8,0.61,0.9099999999999999,0.4761070435209225
sentimen_bi_neg,8,0.61,symmetric,0.4226266059127204
sentimen_bi_neg,8,0.9099999999999999,0.01,0.4177184528950917
sentimen_bi_neg,8,0.9099999999999999,0.31,0.41066626639763765
sentimen_bi_neg,8,0.9099999999999999,0.61,0.43818669345573225
sentimen_bi_neg,8,0.9099999999999999,0.9099999999999999,0.4449142952633207
sentimen_bi_neg,8,0.9099999999999999,symmetric,0.39995582216439285
sentimen_bi_neg,8,symmetric,0.01,0.42323883994840156
sentimen_bi_neg,8,symmetric,0.31,0.419525587877067
sentimen_bi_neg,8,symmetric,0.61,0.4249986168368076
sentimen_bi_neg,8,symmetric,0.9099999999999999,0.42499861683680756
sentimen_bi_neg,8,symmetric,symmetric,0.4251122351931558
sentimen_bi_neg,8,asymmetric,0.01,0.4325730528681949
sentimen_bi_neg,8,asymmetric,0.31,0.4331376073696305
sentimen_bi_neg,8,asymmetric,0.61,0.43278802455485704
sentimen_bi_neg,8,asymmetric,0.9099999999999999,0.4467065803896907
sentimen_bi_neg,8,asymmetric,symmetric,0.43313760736963053
sentimen_bi_neg,9,0.01,0.01,0.4107070971620766
sentimen_bi_neg,9,0.01,0.31,0.435522974388388
sentimen_bi_neg,9,0.01,0.61,0.4359123350368883
sentimen_bi_neg,9,0.01,0.9099999999999999,0.4658664647371559
sentimen_bi_neg,9,0.01,symmetric,0.4101287733735427
sentimen_bi_neg,9,0.31,0.01,0.43937785694763404
sentimen_bi_neg,9,0.31,0.31,0.41849768072797633
sentimen_bi_neg,9,0.31,0.61,0.4146337739531883
sentimen_bi_neg,9,0.31,0.9099999999999999,0.40951295378763103
sentimen_bi_neg,9,0.31,symmetric,0.41149611743859793
sentimen_bi_neg,9,0.61,0.01,0.4639845927518921
sentimen_bi_neg,9,0.61,0.31,0.46926156751988146
sentimen_bi_neg,9,0.61,0.61,0.47254239124437764
sentimen_bi_neg,9,0.61,0.9099999999999999,0.4690019797079614
sentimen_bi_neg,9,0.61,symmetric,0.4594569360192533
sentimen_bi_neg,9,0.9099999999999999,0.01,0.45199860756295174
sentimen_bi_neg,9,0.9099999999999999,0.31,0.5101063400232845
sentimen_bi_neg,9,0.9099999999999999,0.61,0.4710274921337535
sentimen_bi_neg,9,0.9099999999999999,0.9099999999999999,0.46690439902500774
sentimen_bi_neg,9,0.9099999999999999,symmetric,0.48143648635702413
sentimen_bi_neg,9,symmetric,0.01,0.41841943103233875
sentimen_bi_neg,9,symmetric,0.31,0.44240044691462493
sentimen_bi_neg,9,symmetric,0.61,0.4086450126067743
sentimen_bi_neg,9,symmetric,0.9099999999999999,0.4225918081011077
sentimen_bi_neg,9,symmetric,symmetric,0.44240044691462493
sentimen_bi_neg,9,asymmetric,0.01,0.47816098640409244
sentimen_bi_neg,9,asymmetric,0.31,0.463169496496036
sentimen_bi_neg,9,asymmetric,0.61,0.4952688610351204
sentimen_bi_neg,9,asymmetric,0.9099999999999999,0.5023186843074685
sentimen_bi_neg,9,asymmetric,symmetric,0.4632244367491338
sentimen_bi_neg,10,0.01,0.01,0.4642154686707383
sentimen_bi_neg,10,0.01,0.31,0.4609140863903252
sentimen_bi_neg,10,0.01,0.61,0.46998296137230183
sentimen_bi_neg,10,0.01,0.9099999999999999,0.46998296137230194
sentimen_bi_neg,10,0.01,symmetric,0.46432693358097704
sentimen_bi_neg,10,0.31,0.01,0.48198933412849676
sentimen_bi_neg,10,0.31,0.31,0.4930737099161469
sentimen_bi_neg,10,0.31,0.61,0.505217625045131
sentimen_bi_neg,10,0.31,0.9099999999999999,0.5016175900654598
sentimen_bi_neg,10,0.31,symmetric,0.49941109828643426
sentimen_bi_neg,10,0.61,0.01,0.44671682830081905
sentimen_bi_neg,10,0.61,0.31,0.4729899095979378
sentimen_bi_neg,10,0.61,0.61,0.4813094373632187
sentimen_bi_neg,10,0.61,0.9099999999999999,0.46927223183460365
sentimen_bi_neg,10,0.61,symmetric,0.47568913608126395
sentimen_bi_neg,10,0.9099999999999999,0.01,0.4667652145940832
sentimen_bi_neg,10,0.9099999999999999,0.31,0.5115796508529841
sentimen_bi_neg,10,0.9099999999999999,0.61,0.45674484080118
sentimen_bi_neg,10,0.9099999999999999,0.9099999999999999,0.47863684015753033
sentimen_bi_neg,10,0.9099999999999999,symmetric,0.4982129026018255
sentimen_bi_neg,10,symmetric,0.01,0.4844561013754672
sentimen_bi_neg,10,symmetric,0.31,0.49363555507389495
sentimen_bi_neg,10,symmetric,0.61,0.4955109663485516
sentimen_bi_neg,10,symmetric,0.9099999999999999,0.4855753570068594
sentimen_bi_neg,10,symmetric,symmetric,0.49459442107212037
sentimen_bi_neg,10,asymmetric,0.01,0.4487147861262291
sentimen_bi_neg,10,asymmetric,0.31,0.4395595221034652
sentimen_bi_neg,10,asymmetric,0.61,0.4404953489483433
sentimen_bi_neg,10,asymmetric,0.9099999999999999,0.45101285299939936
sentimen_bi_neg,10,asymmetric,symmetric,0.4526689396052846
